id_artista,Artista
0,"Latto, Jung Kook"
1,Myke Towers
2,Olivia Rodrigo
3,Taylor Swift
4,Bad Bunny
5,"Dave, Central Cee"
6,"Eslabon Armado, Peso Pluma"
7,Quevedo
8,Gunna
9,"Peso Pluma, Yng Lvcas"
10,"Bad Bunny, Grupo Frontera"
11,NewJeans
12,Miley Cyrus
13,David Kushner
14,Harry Styles
15,SZA
16,Fifty Fifty
17,Billie Eilish
18,"Feid, Young Miko"
19,Jimin
20,"Gabito Ballesteros, Junior H, Peso Pluma"
21,Arctic Monkeys
22,"Bizarrap, Peso Pluma"
23,"The Weeknd, Madonna, Playboi Carti"
24,Fuerza Regida
25,"Rï¿½ï¿½ma, Selena G"
26,"Tainy, Bad Bunny"
27,Morgan Wallen
28,Dua Lipa
29,Troye Sivan
30,"Peso Pluma, Grupo Frontera"
31,"The Weeknd, 21 Savage, Metro Boomin"
32,"Karol G, Shakira"
33,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk"
34,"Yahritza Y Su Esencia, Grupo Frontera"
35,"Junior H, Peso Pluma"
36,"Post Malone, Swae Lee"
37,"Bebe Rexha, David Guetta"
38,"Tyler, The Creator, Kali Uchis"
39,"Nicki Minaj, Aqua, Ice Spice"
40,OneRepublic
41,The Weeknd
42,"The Weeknd, Daft Punk"
43,"Ariana Grande, The Weeknd"
44,"Feid, Myke Towers, Sky Rompiendo"
45,"David Guetta, Anne-Marie, Coi Leray"
46,Karol G
47,Peggy Gou
48,Tom Odell
49,Kali Uchis
50,Manuel Turizo
51,"dennis, MC Kevin o Chris"
52,"PinkPantheress, Ice Spice"
53,"Charlie Puth, BTS, Jung Kook"
54,"Rauw Alejandro, ROSALï¿½"
55,"Ozuna, Feid"
56,Chris Molitor
57,Libianca
58,Post Malone
59,"Rauw Alejandro, Bizarrap"
60,Glass Animals
61,JVKE
62,The Neighbourhood
63,"Bizarrap, Quevedo"
64,Coldplay
65,d4vd
66,"Sam Smith, Kim Petras"
67,"Yandel, Feid"
68,Maria Becerra
69,Vance Joy
70,"Em Beihold, Stephen Sanchez"
71,"Mc Livinho, DJ Matt D"
72,"Justin Bieber, The Kid Laroi"
73,"Marshmello, Manuel Turizo"
74,Lewis Capaldi
75,"Chencho Corleone, Bad Bunny"
76,Jain
77,"Ayparia, unxbected"
78,Luke Combs
79,Doechii
80,"Bad Bunny, Eladio Carrion"
81,Jung Kook
82,"J. Cole, Lil Durk"
83,Lana Del Rey
84,BTS
85,"Future, Metro Boomin, Don Toliver"
86,Eminem
87,Carin Leon
88,"Dua Lipa, Elton John, Pnau"
89,Ruth B.
90,Imagine Dragons
91,Adele
92,"Kendrick Lamar, Jay Rock"
93,Anggi Marito
94,"Jasiel Nuï¿½ï¿½ez, Peso P"
95,Tears For Fears
96,J. Cole
97,Loreen
98,"Taiu, Milo j"
99,"Sebastian Yatra, Manuel Turizo, Beï¿½ï"
100,"Calvin Harris, Ellie Goulding"
101,Sabrina Carpenter
102,"Carin Leon, Grupo Frontera"
103,Peso Pluma
104,Feid
105,"Ray Dalton, Ryan Lewis, Macklemore"
106,"Billie Eilish, Khalid"
107,(G)I-DLE
108,"Shakira, Bizarrap"
109,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV"
110,"Travis Scott, Young Thug, Metro Boomin"
111,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain"
112,Ed Sheeran
113,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax"
114,"Mc Pedrinho, DJ 900"
115,"Sog, Ryan Castro, Peso Pluma"
116,"The Weeknd, Lana Del Rey"
117,"Bomba Estï¿½ï¿½reo, Bad B"
118,Keane
119,New West
120,Chino Pacas
121,Natanael Cano
122,"Don Omar, Lucenzo"
123,"Ana Castela, AgroPlay"
124,Bruno Mars
125,"Big One, FMK, Ke personajes"
126,"Drake, 21 Savage"
127,Justin Bieber
128,Chris Brown
129,"Natanael Cano, Peso Pluma"
130,Daddy Yankee
131,"Drake, WizKid, Kyla"
132,Miguel
133,The Police
134,Lord Huron
135,"Rihanna, Calvin Harris"
136,Alec Benjamin
137,"A$AP Rocky, Metro Boomin, Roisee"
138,YOASOBI
139,Rosa Linn
140,One Direction
141,"Oscar Maydon, Junior H"
142,Radiohead
143,James Arthur
144,Cigarettes After Sex
145,Shubh
146,Frank Ocean
147,Hozier
148,"Fuerza Regida, Grupo Frontera"
149,Hotel Ugly
150,Creedence Clearwater Revival
151,Plan B
152,"Feid, Mora, Saiko, Quevedo"
153,a-ha
154,"Swae Lee, Lil Wayne, Offset, Metro Boomin"
155,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin"
156,Shakira
157,"Natanael Cano, Gabito Ballesteros, Peso Pluma"
158,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya"
159,Stray Kids
160,"Becky G, Peso Pluma"
161,"Metro Boomin, Coi Leray"
162,"Kaliii, Kaliii"
163,"Junior H, Eden Muï¿½ï"
164,"Abhijay Sharma, Riar Saab"
165,"Semicenk, Doï¿½ï¿½u "
166,JISOO
167,"Future, Lil Uzi Vert, Metro Boomin"
168,"RAYE, 070 Shake"
169,"Arcangel, Bad Bunny"
170,"Taylor Swift, Ice Spice"
171,"Future, Chris Brown, Metro Boomin"
