Nombre artista,in_apple_playlists,in_apple_charts
"Latto, Jung Kook",43,263
Myke Towers,48,126
Olivia Rodrigo,94,207
Taylor Swift,116,207
Bad Bunny,84,133
"Dave, Central Cee",67,213
"Eslabon Armado, Peso Pluma",34,222
Quevedo,25,89
Gunna,60,210
"Peso Pluma, Yng Lvcas",49,110
"Bad Bunny, Grupo Frontera",41,205
NewJeans,37,202
Miley Cyrus,300,215
David Kushner,80,156
Harry Styles,403,198
SZA,183,162
Fifty Fifty,91,212
Billie Eilish,80,227
"Feid, Young Miko",43,100
Jimin,8,104
"Gabito Ballesteros, Junior H, Peso Pluma",11,163
Taylor Swift,73,119
Arctic Monkeys,24,98
"Bizarrap, Peso Pluma",17,152
"The Weeknd, Madonna, Playboi Carti",74,182
Fuerza Regida,16,149
"Rï¿½ï¿½ma, Selena G",202,119
"Tainy, Bad Bunny",35,109
Morgan Wallen,52,107
Dua Lipa,0,0
Troye Sivan,71,135
"Peso Pluma, Grupo Frontera",20,185
"The Weeknd, 21 Savage, Metro Boomin",113,149
Taylor Swift,242,142
"Karol G, Shakira",115,123
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",22,33
"Yahritza Y Su Esencia, Grupo Frontera",19,108
Taylor Swift,154,123
Taylor Swift,94,111
Fuerza Regida,16,159
"Junior H, Peso Pluma",10,107
"Post Malone, Swae Lee",372,117
"Bebe Rexha, David Guetta",291,184
"Tyler, The Creator, Kali Uchis",77,58
"Nicki Minaj, Aqua, Ice Spice",82,145
Miley Cyrus,65,48
OneRepublic,241,127
The Weeknd,68,21
"The Weeknd, Daft Punk",281,137
"Ariana Grande, The Weeknd",87,86
"Feid, Myke Towers, Sky Rompiendo",44,64
"David Guetta, Anne-Marie, Coi Leray",145,111
Karol G,14,71
Peggy Gou,0,0
Tom Odell,250,122
The Weeknd,672,199
Kali Uchis,67,79
Manuel Turizo,139,111
Karol G,34,115
Taylor Swift,106,112
"dennis, MC Kevin o Chris",27,17
"PinkPantheress, Ice Spice",154,84
"Charlie Puth, BTS, Jung Kook",38,0
"Rauw Alejandro, ROSALï¿½",82,121
"Ozuna, Feid",63,79
Chris Molitor,196,2
Taylor Swift,37,55
Libianca,105,64
Post Malone,36,32
Taylor Swift,32,93
"Rauw Alejandro, Bizarrap",42,80
Glass Animals,386,144
JVKE,70,58
The Neighbourhood,166,87
"Bizarrap, Quevedo",94,65
Coldplay,233,0
d4vd,94,85
"Sam Smith, Kim Petras",216,108
"Yandel, Feid",47,74
Maria Becerra,12,16
Vance Joy,300,65
"Em Beihold, Stephen Sanchez",60,96
"Mc Livinho, DJ Matt D",9,6
Taylor Swift,16,72
"Justin Bieber, The Kid Laroi",492,99
"Marshmello, Manuel Turizo",80,75
Lewis Capaldi,440,125
"Chencho Corleone, Bad Bunny",104,120
Jain,150,148
"Ayparia, unxbected",1,52
Luke Combs,57,97
Doechii,29,76
"Bad Bunny, Eladio Carrion",28,89
Taylor Swift,19,45
Jung Kook,2,107
"J. Cole, Lil Durk",69,145
Lana Del Rey,49,105
SZA,58,156
Lana Del Rey,89,143
BTS,20,106
Taylor Swift,160,110
"Future, Metro Boomin, Don Toliver",17,119
Post Malone,56,91
Eminem,49,98
NewJeans,8,166
Carin Leon,6,40
"Dua Lipa, Elton John, Pnau",384,135
Ruth B.,41,100
Imagine Dragons,98,108
Adele,88,112
"Kendrick Lamar, Jay Rock",69,113
Anggi Marito,7,6
"Jasiel Nuï¿½ï¿½ez, Peso P",2,106
Taylor Swift,21,52
Tears For Fears,101,32
J. Cole,80,65
Loreen,74,102
"Taiu, Milo j",19,23
"Sebastian Yatra, Manuel Turizo, Beï¿½ï",40,58
Taylor Swift,25,81
"Junior H, Peso Pluma",19,117
"Calvin Harris, Ellie Goulding",161,115
Sabrina Carpenter,69,12
"Carin Leon, Grupo Frontera",21,110
Peso Pluma,8,116
Feid,45,69
"Ray Dalton, Ryan Lewis, Macklemore",201,44
Harry Styles,437,115
"Billie Eilish, Khalid",221,96
"Rauw Alejandro, Bizarrap",25,59
(G)I-DLE,10,126
NewJeans,26,124
Lana Del Rey,24,122
"Shakira, Bizarrap",119,108
Arctic Monkeys,30,80
"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",31,37
"Travis Scott, Young Thug, Metro Boomin",24,90
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",3,88
Ed Sheeran,7,0
d4vd,82,55
Imagine Dragons,250,121
"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",6,9
"Mc Pedrinho, DJ 900",5,2
Eminem,98,76
"Sog, Ryan Castro, Peso Pluma",17,29
"The Weeknd, Lana Del Rey",13,8
"Bomba Estï¿½ï¿½reo, Bad B",71,113
Keane,107,69
New West,24,71
Chino Pacas,7,71
Natanael Cano,7,76
Peso Pluma,13,110
"Don Omar, Lucenzo",119,81
"Ana Castela, AgroPlay",14,88
Bruno Mars,0,0
"Big One, FMK, Ke personajes",4,14
"Drake, 21 Savage",81,121
OneRepublic,179,97
Justin Bieber,107,38
Chris Brown,133,181
"Natanael Cano, Peso Pluma",19,143
Daddy Yankee,98,95
"Drake, WizKid, Kyla",433,107
Taylor Swift,24,101
The Weeknd,197,115
Miguel,137,125
The Police,211,74
Lord Huron,70,82
"Rihanna, Calvin Harris",321,91
Bruno Mars,0,0
Alec Benjamin,0,0
"A$AP Rocky, Metro Boomin, Roisee",17,60
Arctic Monkeys,133,92
Imagine Dragons,65,82
YOASOBI,35,102
The Weeknd,45,85
Taylor Swift,328,70
Arctic Monkeys,54,70
Rosa Linn,148,80
Ed Sheeran,33,0
One Direction,60,20
"Oscar Maydon, Junior H",11,84
Radiohead,146,72
James Arthur,38,25
Cigarettes After Sex,61,96
Shubh,7,10
Frank Ocean,112,68
Post Malone,391,73
Bruno Mars,82,0
Hozier,187,99
"Fuerza Regida, Grupo Frontera",27,129
Taylor Swift,47,90
Bad Bunny,124,133
Taylor Swift,3,33
Hotel Ugly,1,50
Creedence Clearwater Revival,71,37
Plan B,4,3
"Feid, Mora, Saiko, Quevedo",20,46
NewJeans,28,125
a-ha,34,0
"Swae Lee, Lil Wayne, Offset, Metro Boomin",13,46
"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",22,18
Shakira,37,50
"Natanael Cano, Gabito Ballesteros, Peso Pluma",12,117
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",6,71
Stray Kids,9,101
Taylor Swift,15,15
"Becky G, Peso Pluma",15,92
"Metro Boomin, Coi Leray",18,41
"Kaliii, Kaliii",44,34
"Junior H, Eden Muï¿½ï",8,60
"Abhijay Sharma, Riar Saab",10,79
"Semicenk, Doï¿½ï¿½u ",5,6
JISOO,20,110
"Future, Lil Uzi Vert, Metro Boomin",5,17
Ed Sheeran,116,69
"RAYE, 070 Shake",116,84
"Arcangel, Bad Bunny",47,77
"Taylor Swift, Ice Spice",23,21
"Future, Chris Brown, Metro Boomin",41,69
"BLESSD, Peso Pluma",8,78
Feid,29,65
"Fuerza Regida, Natanael Cano",10,72
"Lana Del Rey, Taylor Swift",1,0
Coi Leray,118,48
ENHYPEN,8,96
"Lil Durk, Morgan Wallen",23,82
Feid,47,66
"James Blake, Metro Boomin",1,20
"Israel & Rodolffo, Mari Fernandez",7,29
Steve Lacy,155,72
Beyoncï¿,215,88
"Halsey, Suga",6,14
"Nicky Jam, Feid",39,14
"Sean Paul, Feid",29,26
Drake,58,70
"Kendrick Lamar, Beyoncï¿",34,2
Taylor Swift,51,43
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",3,10
Bad Bunny,34,65
Simone Mendes,8,57
Tini,51,29
Lil Uzi Vert,72,27
Sia,119,66
Stephen Sanchez,69,100
"Drake, 21 Savage",84,84
Adele,258,87
"MC Caverinha, KayBlack",7,2
"Offset, JID",3,3
Zï¿½ï¿½ Neto & Crist,12,57
Eminem,81,53
"Migrantes, LiL CaKe, Nico Valdi",41,22
Tory Lanez,3,79
Joji,109,42
"Mambo Kingz, DJ Luian, Anuel Aa",9,13
Ed Sheeran,37,3
"Nile Rodgers, LE SSERAFIM",14,110
Agust D,6,84
"Rich The Kid, Matuï¿",17,7
Karol G,15,26
Labrinth,46,5
"Karol G, Romeo Santos",45,80
Lizzy McAlpine,67,55
Fifty Fifty,15,93
IVE,16,102
sped up 8282,0,0
"Cartel De Santa, La Kelly",8,14
SEVENTEEN,16,103
NLE Choppa,21,4
"The Weeknd, Future",36,65
Taylor Swift,26,6
Karol G,114,104
"Nicki Minaj, Ice Spice",0,0
"Grupo Marca Registrada, Grupo Frontera",4,64
Ed Sheeran,234,71
"Fuerza Regida, Peso Pluma",8,84
"TAEYANG, Lisa",16,90
Raim Laode,5,6
ROSALï¿½,180,90
Meghan Trainor,142,23
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",0,0
Grupo Frontera,17,80
Quevedo,34,26
TV Girl,3,1
INTERWORLD,18,78
"Quevedo, Jhayco",17,13
"El Chachito, Junior H",3,31
Jimin,4,71
"The Weeknd, Gesaffelstein",30,70
"RM, Colde",5,9
BLACKPINK,53,120
"Nengo Flow, Bad Bunny",21,55
The Weeknd,151,107
Jimin,4,72
"Jasiel Nuï¿½ï¿½ez, Peso P",8,77
"Nicky Youre, Dazy",156,35
Eminem,247,54
"Eminem, Dina Rae",18,51
"Mambo Kingz, DJ Luian, Anuel Aa",10,41
"IU, Agust D",4,45
Feid,20,8
"Arcangel, Bizarrap",11,3
"Tyler, The Creator",23,0
"Tiï¿½ï¿½sto, Tate M",190,104
"Tyler, The Creator",8,1
NF,22,7
Yng Lvcas,4,11
"Kanii, PR1ISVX",16,15
Harry Styles,166,42
Marï¿½ï¿½lia Mendo,30,84
"Ariana Grande, The Weeknd",240,98
Zach Bryan,67,84
Melanie Martinez,29,9
"Fuerza Regida, Chino Pacas",5,48
Taylor Swift,19,29
Mae Stephens,81,27
Morgan Wallen,37,88
"Feid, Mora",28,57
Kenia OS,23,2
Kordhell,20,68
"Coolio, L.V.",21,0
"Karol G, Ovy On The Drums",52,66
The Walters,44,19
Steve Lacy,71,53
James Arthur,231,37
The Weeknd,122,94
Mac DeMarco,27,27
Jack Black,0,0
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",20,8
"Brray, Rauw Alejandro, Lyanno",72,64
SZA,23,71
Linkin Park,39,0
"Gorillaz, Bad Bunny",32,18
"j-hope, J. Cole",22,82
Morgan Wallen,11,58
"Robin Schulz, Oliver Tree",108,16
Morgan Wallen,4,20
Morgan Wallen,22,101
"Don Toliver, Future, Justin Bieber",29,3
Morgan Wallen,11,54
Niall Horan,61,6
Central Cee,49,23
Mahalini,4,6
Morgan Wallen,15,17
"Arijit Singh, Sachin-Jigar",11,101
ThxSoMch,32,3
"Myke Towers, Quevedo",30,15
"Morgan Wallen, Eric Church",14,35
Nicki Minaj,45,11
Kaifi Khalil,1,10
SZA,59,100
"Karol G, Quevedo",11,15
NewJeans,20,119
Lady Gaga,66,26
"Ozuna, Shakira",118,34
Morgan Wallen,6,15
Quevedo,11,24
Morgan Wallen,16,53
Linkin Park,63,0
Leo Santana,20,1
Treyce,12,2
"Post Malone, Doja Cat",94,21
Bad Bunny,20,64
Quevedo,16,19
"MC Xenon, Os Gemeos da Putaria",6,1
"Imagine Dragons, League of Legends, JID, Arcane",122,88
XXXTENTACION,7,0
"Israel & Rodolffo, Ana Castela",26,69
"J Balvin, Bad Bunny",177,109
"Yuridia, Angela Aguilar",19,59
The Kid Laroi,57,4
The Weeknd,45,115
Lizzo,0,0
Morgan Wallen,5,9
Fujii Kaze,24,94
"Wisin & Yandel, ROSALï¿½",53,7
King,11,80
Bad Bunny,74,113
"Coldplay, BTS",0,0
Morgan Wallen,2,10
ROSALï¿½,105,41
"Sam Smith, Calvin Harris, Jessie Reyez",86,1
P!nk,88,24
LE SSERAFIM,23,95
PinkPantheress,27,0
"TAEYANG, Jimin",15,40
SZA,71,95
Rihanna,129,31
Lil Nas X,113,17
Beach Weather,47,60
"Halsey, BTS",113,92
Baby Tate,9,1
Rï¿½ï,107,44
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",13,78
"RAYE, 070 Shake",12,1
Beach House,69,76
"BTS, Jung Kook, FIFA Sound",11,78
"Shakira, Rauw Alejandro",124,66
"Steve Aoki, Tini, La Joaqui",33,7
Billie Eilish,68,89
Sam Smith,136,24
Conan Gray,82,1
"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",21,79
"Calvin Harris, Dua Lipa",537,122
TOMORROW X TOGETHER,12,56
BLACKPINK,57,119
"Drake, Future, Tems",128,84
Dua Lipa,532,77
Mr.Kitty,1,9
"Gustavo Mioto, Mari Fernandez",27,64
"Jack Harlow, Lil Nas X",300,47
Elley Duhï¿,78,21
Seafret,43,53
"Baby Rasta, Rauw Alejandro",54,32
"DJ Escobar, MC MENOR SG, MC MENOR HR",14,1
Dean Lewis,72,97
SZA,22,51
Joji,38,45
Central Cee,57,44
Bellakath,9,0
